TEKST,TŁUMACZENIE,LINK DO OBRAZKA,ZDANIE_EN,ZDANIE_ES
cranberry,el arándano rojo,https://static.thenounproject.com/png/cranberry-icon-7975794-512.png,Cranberries are used in sauces,Los arándanos se usan en salsas
avocado,el aguacate,https://static.thenounproject.com/png/avocado-icon-3212399-512.png,Avocado is good for health,El aguacate es uy saludable
melon,el melón,https://static.thenounproject.com/png/melon-icon-7994610-512.png,The melon is very refreshing,El melón es muy refrescante
carrot,la zanahoria,https://static.thenounproject.com/png/carrot-fiber-icon-2996849-512.png,The rabbit loves carrots,El conejo ama las zanahorias
tomato,el tomate,https://static.thenounproject.com/png/tomato-icon-7937968-512.png,This tomato is very fresh,Este tomate está muy fresco
potato,la patata,https://static.thenounproject.com/png/potatoes-icon-5747063-512.png,She is cooking potato soup,Ella está cocinando sopa de patata
onion,la cebolla,https://static.thenounproject.com/png/onion-icon-7920171-512.png,I need an onion,Necesito una cebolla
garlic,el ajo,https://static.thenounproject.com/png/garlic-icon-8079154-512.png,Garlic is used in many dishes,El ajo se usa en muchos platos
cucumber,el pepino,https://static.thenounproject.com/png/cucumber-icon-7571359-512.png,The salad has cucumber inside,La ensalada lleva pepino dentro
lettuce,la lechuga,https://static.thenounproject.com/png/lettuce-icon-7698044-512.png,The lettuce is fresh and green,La lechuga está fresca y verde
pepper,el pimiento,https://static.thenounproject.com/png/pepper-icon-7581581-512.png,This red pepper is spicy,Este pimiento rojo es picante
broccoli,el brócoli,https://static.thenounproject.com/png/broccoli-icon-8078388-512.png,Children don’t like broccoli,Los niños no les gusta el brócoli
cauliflower,el coliflor,https://static.thenounproject.com/png/cauliflower-icon-7619439-512.png,Cauliflower is white,La coliflor es blanca
spinach,la espinaca,https://static.thenounproject.com/png/spinach-icon-7619444-512.png,Spinach is rich in iron,La espinaca es rica en hierro
cabbage,el repollo,https://static.thenounproject.com/png/cabbage-icon-7968646-512.png,Cabbage soup is popular,La sopa de repollo es popular
zucchini,el calabacín,https://static.thenounproject.com/png/zucchini-icon-7726488-512.png,Zucchini is green,El calabacín es verde
eggplant,la berenjena,https://static.thenounproject.com/png/aubergine-icon-2549646-512.png,Eggplant is used in lasagna,La berenjena se usa en la lasaña
pumpkin,la calabaza,https://static.thenounproject.com/png/pumpkin-icon-8023362-512.png,Pumpkin soup is delicious,La sopa de calabaza es deliciosa
celery,el apio,https://static.thenounproject.com/png/celery-icon-7244193-512.png,Celery is crunchy,El apio es crujiente
asparagus,el espárrago,https://static.thenounproject.com/png/asparagus-icon-7619445-512.png,Asparagus is a vegetable,El espárrago es una verdura
radish,el rábano,https://static.thenounproject.com/png/radish-icon-8057137-512.png,Radishes are small,Los rábanos son pequeños
beetroot,la remolacha,https://static.thenounproject.com/png/beetroot-icon-7999633-512.png,Beetroot is very red,La remolacha es muy roja
pea,el guisante,https://static.thenounproject.com/png/pea-icon-7229132-512.png,Peas are green,Los guisantes son verdes
bean,el frijol,https://static.thenounproject.com/png/pea-icon-7229132-512.png,Beans are used in dishes,Los frijoles se usan en platos
corn,el maíz,https://static.thenounproject.com/png/corn-icon-7999591-512.png,Corn is yellow,El maíz es amarillo
mushroom,el champiñón,https://static.thenounproject.com/png/mushroom-icon-7809559-512.png,Mushrooms grow fast,Los champiñones crecen rapido
leek,el puerro,https://static.thenounproject.com/png/leek-icon-7920195-512.png,Leek soup is delicious,La sopa de puerro es deliciosa
